Name,Distance,Link,Address,Phone Number
"Lake Forest Place Independent Living, a CCRC",1.8,https://www.aplaceformom.com/community/lake-forest-place-independent-living-a-ccrc-95478,"1100 Pembridge Dr., Lake Forest, IL 60045",(866) 896-1347
"The Admiral at the Lake, a CCRC",20.6,https://www.aplaceformom.com/community/the-admiral-at-the-lake-a-ccrc-1359480,"929 W Foster Ave, Chicago, IL 60640",(866) 896-1347
Encore at Crystal Lake,25.4,https://www.aplaceformom.com/community/encore-at-crystal-lake-146123,"495 Alexandra Blvd, Crystal Lake, IL 60014",(866) 896-1347
Azura Memory Care of Oak Creek,45.0,https://www.aplaceformom.com/community/azura-memory-care-of-oak-creek-1401680,"8772 S Mayhew Dr, Oak Creek, WI 53154",(866) 896-1347
Clarendale of Algonquin,24.8,https://www.aplaceformom.com/community/clarendale-of-algonquin-1395660,"2001 W Algonquin Rd, Algonquin, IL 60102",(866) 896-1347
Brookdale Des Plaines,13.9,https://www.aplaceformom.com/community/brookdale-des-plaines-68538,"800 South River Road, Des Plaines, IL 60016",(866) 896-1347
Brookdale Hoffman Estates,19.9,https://www.aplaceformom.com/community/brookdale-hoffman-estates-68612,"1515 Barrington Road, Hoffman Estates, IL 60169",(866) 896-1347
Encore at South Barrington,20.4,https://www.aplaceformom.com/community/encore-at-south-barrington-1369029,"215 Bartlett Rd, South Barrington, IL 60010",(866) 896-1347
Brookdale Glen Ellyn,28.1,https://www.aplaceformom.com/community/brookdale-glen-ellyn-89485,"60 North Nicoll Avenue, Glen Ellyn, IL 60137",(866) 896-1347
Green Oaks Senior Living,4.5,https://www.aplaceformom.com/community/green-oaks-senior-living-1383710,"14595 W Rockland Rd, Libertyville, IL 60048",(866) 896-1347
Clarendale of Mokena,48.6,https://www.aplaceformom.com/community/clarendale-of-mokena-1381423,"21536 South Wolf Road, Mokena, IL 60448",(866) 896-1347
Brookdale Northbrook,10.1,https://www.aplaceformom.com/community/brookdale-northbrook-102355,"4501 Concord Lane, Northbrook, IL 60062",(866) 896-1347
Melody Living Lake in the Hills,25.1,https://www.aplaceformom.com/community/melody-living-lake-in-the-hills-1441565,"525 Harvest Gate Rd, Lake in the Hills, IL 60156",(866) 896-1347
Brookdale Lisle,33.3,https://www.aplaceformom.com/community/brookdale-lisle-89650,"1700 Robin Lane, Lisle, IL 60532",(866) 896-1347
Bridgeway of Bensenville a CCRC,20.5,https://www.aplaceformom.com/community/bridgeway-of-bensenville-a-ccrc-89456,"303 E. Washington Street, Bensenville, IL 60106",(866) 896-1347
Belmont Village Lincoln Park,23.9,https://www.aplaceformom.com/community/belmont-village-lincoln-park-1414751,"700 W Fullerton Ave, Chicago, IL 60614",(866) 896-1347
StoryPoint Libertyville,5.0,https://www.aplaceformom.com/community/story-point-libertyville-94990,"901 Florsheim Rd, Libertyville, IL 60048",(866) 896-1347
StoryPoint Naperville,35.8,https://www.aplaceformom.com/community/story-point-naperville-94989,"504 N River Rd, Naperville, IL 60563",(866) 896-1347
Mercy Circle Senior Living,37.0,https://www.aplaceformom.com/community/mercy-circle-senior-living-1401771,"3659 W 99th Pl, Chicago, IL 60655",(866) 896-1347
Heartis Village Orland Park,43.9,https://www.aplaceformom.com/community/heartis-village-orland-park-1409696,"7420 West 159th Street, Orland Park, IL 60462",(866) 896-1347
The Carrington at Lincolnwood,17.3,https://www.aplaceformom.com/community/the-carrington-at-lincolnwood-1406169,"3501 Northeast Parkway, Lincolnwood, IL 60712",(866) 896-1347
Victory Centre of River Woods,22.8,https://www.aplaceformom.com/community/victory-centre-of-river-woods-98711,"1800 River Woods Drive, Melrose Park, IL 60160",(866) 896-1347
Westbrook Senior Living,22.3,https://www.aplaceformom.com/community/westbrook-senior-living-1374795,"110 W Schaumburg Road, Streamwood, IL 60107",(866) 896-1347
Lombard Place Assisted Living & Memory Care,28.5,https://www.aplaceformom.com/community/lombard-place-assisted-living-memory-care-1374793,"300 West 22nd St., Lombard, IL 60148",(866) 896-1347
Maple Glen Memory Care,30.2,https://www.aplaceformom.com/community/maple-glen-memory-care-1395435,"750 S Park Blvd, Glen Ellyn, IL 60137",(866) 896-1347
The Auberge at Highland Park,4.4,https://www.aplaceformom.com/community/the-auberge-at-highland-park-1357555,"1651 Richfield Avenue, Highland Park, IL 60035",(866) 896-1347
North Shore Place,7.8,https://www.aplaceformom.com/community/north-shore-place-1369418,"1000 Sunset Ridge Road, Northbrook, IL 60062",(866) 896-1347
Brookdale Oak Park,24.1,https://www.aplaceformom.com/community/brookdale-oak-park-68620,"1111 Ontario Street, Oak Park, IL 60302",(866) 896-1347
Dimensions Living Burr Ridge,32.9,https://www.aplaceformom.com/community/dimensions-living-burr-ridge-89638,"6801 High Grove Blvd, Burr Ridge, IL 60527",(866) 896-1347
Charter Senior Living of Glen Ellyn,26.9,https://www.aplaceformom.com/community/charter-senior-living-of-glen-ellyn-1381362,"190 Geneva Road, Glen Ellyn, IL 60137",(866) 896-1347
Cedar Lake Assisted Living & Memory Care,12.1,https://www.aplaceformom.com/community/cedar-lake-assisted-living-memory-care-1365081,"777 Church Street, Lake Zurich, IL 60047",(866) 896-1347
Silver Glen Senior Living,28.5,https://www.aplaceformom.com/community/silver-glen-senior-living-1438090,"1901 Silver Glen Rd, South Elgin, IL 60177",(866) 896-1347
The Waters of Oak Creek,45.0,https://www.aplaceformom.com/community/the-waters-of-oak-creek-1406448,"S 8000 Market Street, Oak Creek, WI 53154",(866) 896-1347
Azura Memory Care of Kenosha,24.8,https://www.aplaceformom.com/community/azura-memory-care-of-kenosha-98497,"4600 52nd Avenue, Kenosha, WI 53144",(866) 896-1347
Sunrise at Fountain Square,28.1,https://www.aplaceformom.com/community/sunrise-at-fountain-square-150493,"2210 Fountain Square Drive, Lombard, IL 60148",(866) 896-1347
Arden Courts of Geneva,34.5,https://www.aplaceformom.com/community/arden-courts-of-geneva-68591,"2388 Bricher Road, Geneva, IL 60134",(866) 896-1347
Palos Heights Senior Living,38.9,https://www.aplaceformom.com/community/palos-heights-senior-living-1411247,"7100 West College Drive, Palos Heights, IL 60463",(866) 896-1347
Plum Creek Supportive Living Community,15.0,https://www.aplaceformom.com/community/plum-creek-supportive-living-community-101955,"2801 Algonquin Rd, Rolling Meadows, IL 60008",(866) 896-1347
Arden Courts of South Holland,47.3,https://www.aplaceformom.com/community/arden-courts-of-south-holland-68660,"2045 E 170th Street, South Holland, IL 60473",(866) 896-1347
Sunrise of Gurnee,10.8,https://www.aplaceformom.com/community/sunrise-of-gurnee-97202,"500 North Hunt Club Road, Gurnee, IL 60031",(866) 896-1347
Autumn Green at Wright Campus,19.5,https://www.aplaceformom.com/community/autumn-green-at-wright-campus-139184,"4239 North Oak Park Avenue, Chicago, IL 60634",(866) 896-1347
Terra Vista of Oakbrook Terrace,27.0,https://www.aplaceformom.com/community/terra-vista-of-oakbrook-terrace-1381402,"1635 S Ardmore Ave, Oakbrook Terrace, IL 60181",(866) 896-1347
Brookdale Vernon Hills,4.8,https://www.aplaceformom.com/community/brookdale-vernon-hills-97380,"145 North Milwaukee Avenue, Vernon Hills, IL 60061",(866) 896-1347
The Oaks at Algonquin (Now Open),26.1,https://www.aplaceformom.com/community/the-oaks-at-algonquin-now-open-1438738,"2595 Harnish Dr, Algonquin, IL 60102",(866) 896-1347
Atria Park of Glen Ellyn,28.0,https://www.aplaceformom.com/community/atria-park-of-glen-ellyn-89487,"95 Carleton Avenue, Glen Ellyn, IL 60137",(866) 896-1347
